idade,serie,turno,score_risco,nivel_risco,evasao
17,3ano,matutino,0.0018974717,Baixo,0
16,2ano,matutino,0.9403421,Alto,1
17,3ano,matutino,0.003936138,Baixo,0
16,2ano,noturno,0.0050457064,Baixo,0
16,1ano,vespertino,0.040160384,Baixo,0
18,3ano,matutino,0.27478424,Médio,0
17,3ano,matutino,0.0033368624,Baixo,0
17,3ano,noturno,0.0056606196,Baixo,0
17,1ano,matutino,0.9973749,Alto,1
18,2ano,matutino,0.56732637,Alto,0
18,2ano,matutino,0.6137606,Alto,1
17,3ano,matutino,0.96450657,Alto,1
18,2ano,noturno,0.47218361,Alto,0
20,3ano,noturno,0.99786013,Alto,1
16,2ano,matutino,0.3975012,Alto,1
17,1ano,noturno,0.9819816,Alto,1
17,2ano,matutino,0.019731782,Baixo,0
15,1ano,noturno,0.10692594,Baixo,0
17,3ano,matutino,0.16504982,Baixo,0
17,2ano,matutino,0.074648544,Baixo,0
19,3ano,noturno,0.9938601,Alto,1
17,1ano,noturno,0.96365607,Alto,1
17,3ano,noturno,0.8642878,Alto,1
17,3ano,vespertino,0.0021845473,Baixo,0
17,3ano,noturno,0.15625528,Baixo,0
17,1ano,vespertino,0.99454343,Alto,1
16,2ano,matutino,0.0037584351,Baixo,0
15,1ano,vespertino,0.05595904,Baixo,0
15,1ano,vespertino,0.6804969,Alto,1
16,2ano,vespertino,0.9635651,Alto,1
18,3ano,noturno,0.04593222,Baixo,0
17,3ano,vespertino,0.055728365,Baixo,0
15,1ano,matutino,0.002484794,Baixo,0
16,2ano,matutino,0.18190683,Baixo,0
19,2ano,noturno,0.99963486,Alto,1
15,1ano,matutino,0.45303553,Alto,1
16,1ano,noturno,0.0129308095,Baixo,0
18,2ano,matutino,0.99242544,Alto,1
15,1ano,matutino,0.56319845,Alto,0
19,2ano,noturno,0.9943315,Alto,1
16,2ano,matutino,0.0012686985,Baixo,0
19,3ano,noturno,0.99934584,Alto,1
18,2ano,matutino,0.49945486,Alto,0
15,1ano,vespertino,0.45830822,Alto,0
17,3ano,vespertino,0.0014256862,Baixo,0
17,3ano,noturno,0.005815097,Baixo,0
16,2ano,matutino,0.10683795,Baixo,0
16,1ano,matutino,0.0024490454,Baixo,0
17,2ano,vespertino,0.0025094242,Baixo,0
15,1ano,noturno,0.72732717,Alto,0
15,1ano,noturno,0.3423323,Médio,0
17,1ano,noturno,0.998502,Alto,1
18,3ano,vespertino,0.0024145436,Baixo,0
16,2ano,vespertino,0.019388406,Baixo,0
16,2ano,noturno,0.37344113,Médio,0
20,3ano,noturno,0.99295396,Alto,1
17,2ano,noturno,0.45525762,Alto,0
16,2ano,noturno,0.996612,Alto,1
15,1ano,noturno,0.001891772,Baixo,0
16,1ano,matutino,0.14651428,Baixo,0
16,2ano,matutino,0.0029197312,Baixo,0
16,2ano,noturno,0.895534,Alto,1
16,2ano,vespertino,0.078205794,Baixo,0
19,3ano,matutino,0.9977284,Alto,1
17,2ano,vespertino,0.0016010809,Baixo,0
16,2ano,vespertino,0.000549081,Baixo,0
17,2ano,noturno,0.0024664728,Baixo,0
15,1ano,noturno,0.73836774,Alto,1
16,1ano,matutino,0.9926461,Alto,1
17,2ano,vespertino,0.9724329,Alto,1
15,1ano,matutino,0.30282336,Médio,0
16,2ano,noturno,0.9953479,Alto,1
18,3ano,matutino,0.19018368,Baixo,0
15,1ano,vespertino,0.0019155901,Baixo,0
15,1ano,vespertino,0.0068487576,Baixo,0
15,1ano,vespertino,0.0011292864,Baixo,0
16,1ano,vespertino,0.008911405,Baixo,0
17,2ano,vespertino,0.41066274,Alto,0
17,2ano,vespertino,0.4980514,Alto,0
18,3ano,matutino,0.99574935,Alto,1
16,2ano,matutino,0.9285767,Alto,0
17,2ano,vespertino,0.0018921277,Baixo,0
18,3ano,matutino,0.37195042,Médio,0
15,1ano,noturno,0.99347794,Alto,1
15,1ano,matutino,0.042638246,Baixo,0
16,1ano,noturno,0.9907823,Alto,1
17,3ano,matutino,0.0021956593,Baixo,0
18,2ano,noturno,0.9980495,Alto,1
16,1ano,matutino,0.11792391,Baixo,0
16,2ano,vespertino,0.0013107755,Baixo,0
17,1ano,matutino,0.9976031,Alto,1
16,2ano,vespertino,0.9876332,Alto,1
16,2ano,matutino,0.0018058384,Baixo,0
16,2ano,noturno,0.0017513984,Baixo,0
16,1ano,vespertino,0.3385213,Médio,0
18,2ano,noturno,0.99769837,Alto,1
15,1ano,vespertino,0.1282026,Baixo,0
19,1ano,vespertino,0.98281187,Alto,1
15,1ano,noturno,0.5438077,Alto,1
18,3ano,matutino,0.0042080204,Baixo,0
17,3ano,vespertino,0.10735664,Baixo,0
16,2ano,matutino,0.08154815,Baixo,0
15,1ano,vespertino,0.0010183322,Baixo,0
19,3ano,matutino,0.8016283,Alto,0
17,3ano,matutino,0.61402535,Alto,1
17,3ano,vespertino,0.005421189,Baixo,0
16,2ano,vespertino,0.9691676,Alto,1
17,1ano,matutino,0.99908805,Alto,1
17,1ano,vespertino,0.6731044,Alto,0
17,3ano,noturno,0.0042009153,Baixo,0
17,2ano,matutino,0.6431463,Alto,0
15,1ano,matutino,0.001919843,Baixo,0
15,1ano,noturno,0.8307058,Alto,1
16,2ano,noturno,0.8958544,Alto,1
16,1ano,matutino,0.14882009,Baixo,0
18,3ano,vespertino,0.053708717,Baixo,0
18,3ano,matutino,0.0032419194,Baixo,0
17,3ano,noturno,0.36472234,Médio,0
16,2ano,matutino,0.6144475,Alto,0
16,2ano,matutino,0.98894113,Alto,1
16,2ano,matutino,0.0012817828,Baixo,0
17,2ano,vespertino,0.02021561,Baixo,0
16,1ano,matutino,0.0042273784,Baixo,0
16,2ano,noturno,0.37206602,Médio,0
17,1ano,vespertino,0.9972378,Alto,1
16,2ano,vespertino,0.001878997,Baixo,0
16,1ano,noturno,0.81700087,Alto,0
15,1ano,matutino,0.002075718,Baixo,0
17,1ano,matutino,0.01839545,Baixo,0
17,2ano,matutino,0.06293254,Baixo,0
16,1ano,noturno,0.005062695,Baixo,0
17,3ano,matutino,0.1968183,Baixo,0
19,2ano,noturno,0.99791855,Alto,1
18,1ano,vespertino,0.856233,Alto,1
17,2ano,vespertino,0.0011465128,Baixo,0
17,1ano,vespertino,0.97802675,Alto,1
17,3ano,matutino,0.669865,Alto,1
16,2ano,matutino,0.06237303,Baixo,0
18,3ano,noturno,0.1109359,Baixo,0
15,1ano,matutino,0.27122626,Médio,0
18,2ano,vespertino,0.98618037,Alto,1
18,2ano,noturno,0.8007057,Alto,0
18,3ano,matutino,0.92911977,Alto,1
17,2ano,matutino,0.2150608,Baixo,0
17,2ano,matutino,0.003016396,Baixo,0
16,1ano,matutino,0.025793351,Baixo,0
15,1ano,noturno,0.116577394,Baixo,0
16,2ano,noturno,0.16541685,Baixo,0
17,2ano,matutino,0.07938687,Baixo,0
16,1ano,noturno,0.712601,Alto,0
21,3ano,matutino,0.9989741,Alto,1
17,3ano,noturno,0.017687261,Baixo,0
16,1ano,noturno,0.0101021575,Baixo,0
17,2ano,matutino,0.9591674,Alto,1
16,1ano,vespertino,0.0018911591,Baixo,0
16,2ano,noturno,0.9962863,Alto,1
15,1ano,matutino,0.2246804,Baixo,0
17,2ano,matutino,0.017293675,Baixo,0
17,3ano,vespertino,0.0031410751,Baixo,0
18,3ano,matutino,0.007968374,Baixo,0
15,1ano,matutino,0.8860942,Alto,1
18,3ano,matutino,0.016446957,Baixo,0
17,1ano,vespertino,0.9354679,Alto,0
15,1ano,matutino,0.10850336,Baixo,0
16,2ano,vespertino,0.12564205,Baixo,0
16,2ano,matutino,0.0016756431,Baixo,0
17,3ano,matutino,0.012116454,Baixo,0
17,3ano,vespertino,0.035118442,Baixo,0
15,1ano,matutino,0.0019682073,Baixo,0
18,3ano,vespertino,0.0049297144,Baixo,0
17,1ano,matutino,0.41497394,Alto,0
16,2ano,vespertino,0.9790509,Alto,1
15,1ano,matutino,0.9553317,Alto,1
19,3ano,noturno,0.99466455,Alto,1
15,1ano,matutino,0.5211444,Alto,0
16,1ano,noturno,0.17699818,Baixo,0
18,2ano,matutino,0.9922625,Alto,1
17,3ano,matutino,0.004188828,Baixo,0
18,3ano,vespertino,0.11515156,Baixo,0
19,3ano,matutino,0.9921821,Alto,1
17,3ano,vespertino,0.011580059,Baixo,0
19,3ano,noturno,0.9936579,Alto,1
17,2ano,noturno,0.6929937,Alto,1
17,1ano,vespertino,0.8773944,Alto,1
18,3ano,noturno,0.99449944,Alto,1
19,2ano,vespertino,0.98756427,Alto,1
17,2ano,matutino,0.0056145047,Baixo,0
15,1ano,noturno,0.010634208,Baixo,0
17,3ano,matutino,0.13899052,Baixo,0
17,1ano,matutino,0.9992107,Alto,1
18,3ano,matutino,0.0036124573,Baixo,0
15,1ano,matutino,0.31654736,Médio,0
17,1ano,matutino,0.34888083,Médio,0
17,3ano,matutino,0.3431714,Médio,0
16,1ano,vespertino,0.0028620618,Baixo,0
16,1ano,noturno,0.0025325755,Baixo,0
16,2ano,noturno,0.89531577,Alto,1
17,3ano,matutino,0.0011426836,Baixo,0
18,1ano,matutino,0.99518013,Alto,1
15,1ano,vespertino,0.003917247,Baixo,0
18,3ano,matutino,0.031597283,Baixo,0
17,3ano,matutino,0.082930826,Baixo,0
16,2ano,vespertino,0.0012484834,Baixo,0
15,1ano,noturno,0.4446266,Alto,0
16,1ano,matutino,0.75586504,Alto,0
15,1ano,vespertino,0.0024343277,Baixo,0
17,1ano,vespertino,0.9971283,Alto,1
16,2ano,noturno,0.003623233,Baixo,0
15,1ano,matutino,0.21340267,Baixo,0
17,2ano,noturno,0.02178746,Baixo,0
16,2ano,noturno,0.9749645,Alto,1
17,2ano,matutino,0.0017501218,Baixo,0
16,1ano,vespertino,0.029284107,Baixo,0
19,3ano,vespertino,0.12248023,Baixo,0
17,3ano,matutino,0.27395862,Médio,0
17,3ano,vespertino,0.0037288743,Baixo,0
16,1ano,matutino,0.011595137,Baixo,0
17,1ano,noturno,0.9987754,Alto,1
17,3ano,matutino,0.013453876,Baixo,0
16,2ano,vespertino,0.19776434,Baixo,0
15,1ano,matutino,0.34582847,Médio,0
16,2ano,vespertino,0.004074495,Baixo,0
17,2ano,vespertino,0.0049470635,Baixo,0
17,3ano,vespertino,0.9567344,Alto,1
16,1ano,vespertino,0.09177069,Baixo,0
18,3ano,matutino,0.06024598,Baixo,0
17,1ano,matutino,0.9952449,Alto,1
16,2ano,vespertino,0.13591747,Baixo,0
16,2ano,matutino,0.0954262,Baixo,0
17,1ano,noturno,0.68967193,Alto,0
15,1ano,vespertino,0.004318488,Baixo,0
16,2ano,noturno,0.0069970037,Baixo,0
17,3ano,matutino,0.0028236893,Baixo,0
17,2ano,vespertino,0.0015067655,Baixo,0
17,3ano,matutino,0.7081308,Alto,0
18,3ano,noturno,0.008749725,Baixo,0
17,2ano,vespertino,0.011342314,Baixo,0
18,3ano,vespertino,0.18691023,Baixo,0
17,1ano,vespertino,0.9195781,Alto,0
15,1ano,matutino,0.0032144499,Baixo,0
17,3ano,vespertino,0.0038104607,Baixo,0
18,3ano,noturno,0.55301595,Alto,0
16,1ano,matutino,0.0043642838,Baixo,0
16,2ano,noturno,0.9044499,Alto,1
16,2ano,noturno,0.29456,Médio,0
18,3ano,noturno,0.0043092403,Baixo,0
16,2ano,noturno,0.7858548,Alto,0
16,2ano,matutino,0.06286924,Baixo,0
16,2ano,vespertino,0.0033677744,Baixo,0
16,2ano,matutino,0.004067688,Baixo,0
16,2ano,noturno,0.5418391,Alto,0
17,3ano,matutino,0.067132816,Baixo,0
16,2ano,noturno,0.009987818,Baixo,0
17,1ano,matutino,0.9059805,Alto,1
15,1ano,matutino,0.0023544577,Baixo,0
18,3ano,matutino,0.0038196417,Baixo,0
18,3ano,vespertino,0.08270015,Baixo,0
18,1ano,matutino,0.99451715,Alto,1
16,1ano,matutino,0.0031644173,Baixo,0
16,2ano,matutino,0.7089286,Alto,1
17,1ano,matutino,0.99341375,Alto,1
19,3ano,noturno,0.4655109,Alto,0
15,1ano,vespertino,0.19891036,Baixo,0
16,1ano,matutino,0.98981726,Alto,1
18,3ano,matutino,0.0060697645,Baixo,0
15,1ano,matutino,0.007040445,Baixo,0
15,1ano,matutino,0.25691426,Médio,0
15,1ano,matutino,0.0011236726,Baixo,0
15,1ano,matutino,0.00209155,Baixo,0
17,1ano,matutino,0.9951957,Alto,1
15,1ano,matutino,0.06716061,Baixo,0
15,1ano,noturno,0.23603505,Baixo,0
15,1ano,matutino,0.08083988,Baixo,0
17,2ano,vespertino,0.1468783,Baixo,0
16,2ano,vespertino,0.64058584,Alto,0
16,2ano,noturno,0.99337924,Alto,1
16,1ano,matutino,0.8011556,Alto,0
16,2ano,noturno,0.35223502,Médio,0
17,3ano,noturno,0.0033044443,Baixo,0
18,3ano,noturno,0.0027439178,Baixo,0
16,1ano,noturno,0.003575541,Baixo,0
16,1ano,matutino,0.0049110157,Baixo,0
15,1ano,noturno,0.0018843542,Baixo,0
15,1ano,noturno,0.0025871044,Baixo,0
17,2ano,matutino,0.08581617,Baixo,0
16,2ano,matutino,0.0059610405,Baixo,0
16,1ano,noturno,0.7814356,Alto,0
16,2ano,matutino,0.00940559,Baixo,0
17,2ano,noturno,0.99867415,Alto,1
15,1ano,matutino,0.0032223235,Baixo,0
19,3ano,vespertino,0.9973309,Alto,1
15,1ano,matutino,0.00082493393,Baixo,0
17,3ano,vespertino,0.044929955,Baixo,0
15,1ano,vespertino,0.000666465,Baixo,0
17,3ano,noturno,0.0020229754,Baixo,0
