idade,sexo,raca_cor,serie,turno,nota_portugues,nota_matematica,distorcao_idade_serie,faltas_anuais,repeticoes_anteriores,trabalha,renda_familiar,escolaridade_pai,escolaridade_mae,evasao
17,F,Preta,3ano,matutino,7.06,6.36,0,11,0,0,615,3,0,0
16,M,Parda,2ano,matutino,1.63,4.07,0,8,0,0,887,3,3,1
17,M,Branca,3ano,matutino,5.46,5.37,0,5,0,0,1327,2,0,0
16,M,Branca,2ano,noturno,9.13,6.69,0,14,0,1,1847,2,0,0
16,M,Branca,1ano,vespertino,4.46,8.83,1,13,0,0,734,0,1,0
18,M,Parda,3ano,matutino,4.23,7.77,1,19,0,1,1422,0,0,0
17,F,Parda,3ano,matutino,6.1,6.67,0,12,0,0,1047,2,2,0
17,M,Branca,3ano,noturno,8.86,8.45,0,16,0,1,979,0,2,0
17,F,Parda,1ano,matutino,3.45,3.14,2,20,1,1,1203,0,1,1
18,F,Parda,2ano,matutino,6.7,8.64,2,18,1,0,4026,0,1,0
18,F,Parda,2ano,matutino,5.24,6.02,2,13,1,0,2281,0,2,1
17,M,Branca,3ano,matutino,2.7,4.58,0,7,0,0,2805,0,1,1
18,F,Branca,2ano,noturno,5.74,5.17,2,13,1,0,1619,0,1,0
20,F,Parda,3ano,noturno,5.17,7.59,3,24,1,1,4958,0,1,1
16,M,Parda,2ano,matutino,6.16,4.93,0,5,0,0,2469,2,2,1
17,M,Parda,1ano,noturno,4.71,5.99,2,16,1,0,500,3,0,1
17,F,Parda,2ano,matutino,5.64,6.71,1,20,0,1,2169,0,1,0
15,M,Branca,1ano,noturno,4.49,7.64,0,12,0,0,1588,1,1,0
17,M,Parda,3ano,matutino,8.71,2.93,0,11,0,0,1993,1,0,0
17,M,Branca,2ano,matutino,3.55,5.13,1,13,0,0,500,1,0,0
19,F,Indígena,3ano,noturno,5.97,7.48,2,21,1,1,500,2,1,1
17,F,Branca,1ano,noturno,4.96,8.61,2,20,1,1,1123,2,0,1
17,F,Branca,3ano,noturno,5.19,4.47,0,11,0,1,500,0,1,1
17,M,Branca,3ano,vespertino,5.6,9.39,0,13,0,0,2127,2,3,0
17,F,Indígena,3ano,noturno,4.55,6.13,0,12,0,0,1364,0,2,0
17,M,Indígena,1ano,vespertino,2.0,2.97,2,15,1,0,5757,1,0,1
16,F,Parda,2ano,matutino,8.78,6.74,0,13,0,1,1635,0,0,0
15,F,Parda,1ano,vespertino,4.92,5.21,0,14,0,0,2111,2,1,0
15,F,Parda,1ano,vespertino,7.85,4.17,0,11,0,1,1925,1,1,1
16,F,Parda,2ano,vespertino,4.08,2.54,0,4,0,0,1290,0,0,1
18,F,Branca,3ano,noturno,7.63,5.62,1,20,0,1,1331,0,0,0
17,M,Branca,3ano,vespertino,4.78,6.7,0,10,0,0,1158,0,3,0
15,M,Branca,1ano,matutino,5.85,6.37,0,9,0,0,500,2,3,0
16,F,Branca,2ano,matutino,3.3,5.06,0,13,0,0,2974,2,0,0
19,M,Parda,2ano,noturno,3.12,3.04,3,28,1,1,2998,1,0,1
15,M,Branca,1ano,matutino,4.34,8.23,0,15,0,1,2418,2,2,1
16,M,Parda,1ano,noturno,8.04,6.51,1,18,0,1,1301,0,2,0
18,F,Parda,2ano,matutino,8.09,0.0,2,19,1,1,1087,2,2,1
15,F,Parda,1ano,matutino,6.58,4.37,0,19,0,1,500,2,1,0
19,M,Branca,2ano,noturno,9.2,7.19,3,26,1,0,500,1,1,1
16,F,Branca,2ano,matutino,5.7,8.4,0,6,0,0,753,2,0,0
19,M,Branca,3ano,noturno,4.57,7.8,2,28,1,1,1425,0,3,1
18,F,Parda,2ano,matutino,5.04,6.54,2,17,1,0,1633,2,2,0
15,M,Branca,1ano,vespertino,7.01,4.09,0,14,0,1,802,0,1,0
17,F,Parda,3ano,vespertino,5.28,8.51,0,6,0,0,500,0,0,0
17,F,Parda,3ano,noturno,8.74,7.58,0,17,0,1,711,0,1,0
16,F,Parda,2ano,matutino,4.93,5.65,0,14,0,0,1101,0,3,0
16,F,Branca,1ano,matutino,7.95,6.37,1,10,0,0,500,1,1,0
17,M,Branca,2ano,vespertino,6.95,6.19,1,13,0,0,1402,1,2,0
15,M,Parda,1ano,noturno,7.33,4.64,0,16,0,1,4401,0,1,0
15,M,Parda,1ano,noturno,3.86,5.34,0,9,0,0,637,0,1,0
17,F,Branca,1ano,noturno,1.26,7.22,2,22,1,1,6603,0,2,1
18,F,Parda,3ano,vespertino,6.17,5.77,1,12,0,0,689,2,3,0
16,M,Branca,2ano,vespertino,4.79,5.98,0,8,0,0,1014,2,2,0
16,M,Parda,2ano,noturno,6.66,4.0,0,18,0,0,1783,0,3,0
20,F,Parda,3ano,noturno,6.91,7.79,3,21,1,0,1167,2,1,1
17,M,Amarela,2ano,noturno,4.82,6.88,1,14,0,1,500,0,0,0
16,F,Parda,2ano,noturno,4.3,3.16,0,17,0,1,1480,1,0,1
15,M,Branca,1ano,noturno,6.01,6.19,0,8,0,0,1289,2,0,0
